Angle,Time,Angular Velocity
0.0,0.15798306465148926,0.0
-2.9093454441927073e-08,0.19316887855529785,-1.5061149942742242e-07
-0.005143576366271008,0.2285449504852295,-0.022505753705564496
-0.019479061393512822,0.2641291618347168,-0.07374824217896155
0.09011565403042295,0.2989511489868164,0.30143939682398413
0.5181748641099004,0.3336784839630127,1.552916621880057
1.0335860292231993,0.3674759864807129,2.8126627786532863
1.3729341137998559,0.402193546295166,3.41361547555085
1.705972596531838,0.4368250370025635,3.9053910651230064
2.137002959754999,0.4712858200073242,4.534409627944647
2.547403962271807,0.5053732395172119,5.04063880530233
2.9091048730505986,0.5412647724151611,5.374642912876022
3.29403432776379,0.5740134716033936,5.738601079452986
3.6999424406896395,0.6071548461914062,6.093902509217934
4.087945267891989,0.6412534713745117,6.374928870372544
4.468824159683507,0.6756041049957275,6.614560401038071
4.861264845926778,0.7099916934967041,6.846931999985919
5.254786052889555,0.7430858612060547,7.071573188542238
5.64167968322065,0.7776656150817871,7.254634349015565
6.0296201232501625,0.8137824535369873,7.409375929701229
6.420974897440583,0.8461184501647949,7.588742328204753
6.810891653377874,0.8800168037414551,7.739501819079904
7.199266714382519,0.914478063583374,7.872541727433305
7.588845739336957,0.9490125179290771,7.996570746924643
7.978990714914885,0.982924222946167,8.117605130331476
8.368329799639945,1.016761064529419,8.230379871511904
8.757537448591604,1.0516979694366455,8.327046075103372
9.147262069392074,1.0855069160461426,8.426719290476859
9.537008068931438,1.1195852756500244,8.518340028538075
9.926447093405839,1.1532983779907227,8.607006896775232
10.315938436683314,1.1870172023773193,8.690639374073847
10.705582361321492,1.2215938568115234,8.763618367616946
11.095159058168743,1.2558693885803223,8.83464407927889
11.484669172096362,1.290193796157837,8.901507049791592
11.874219477883544,1.3255565166473389,8.957912641790928
12.263708345080145,1.3577899932861328,9.032109829738422
12.653171366271977,1.392547607421875,9.08634742455787
13.042684608348994,1.4265625476837158,9.142735893022124
13.432212058607112,1.4611437320709229,9.19294369457359
13.821729272266325,1.4943578243255615,9.249276878183037
14.211275517125435,1.5280170440673828,9.300469240380242
14.60087890377724,1.5616426467895508,9.349692731428636
14.990506871088446,1.5973877906799316,9.38438803561138
15.380165635178821,1.6302313804626465,9.434345222096052
15.769830242432587,1.6638617515563965,9.477848882385388
16.15948203408976,1.6977438926696777,9.518209491938862
16.54909463620076,1.7319982051849365,9.55491442581126
16.938676881834734,1.766578197479248,9.588410468330663
17.328219151789785,1.8011701107025146,9.620534478573608
17.717750041508168,1.8374605178833008,9.642520135299822
18.107232643806654,1.8697075843811035,9.684526497655714
18.496726455005184,1.9031050205230713,9.719235804402077
18.886241208609096,1.937107801437378,9.74971098386733
19.27573037413755,1.970432996749878,9.782484563510568
19.665229301251447,2.0050556659698486,9.807822114374737
20.054747212296487,2.03881573677063,9.836468715933146
20.444288142877767,2.0725488662719727,9.864321404229289
20.83383224305169,2.1090636253356934,9.878237902725969
21.22338680184875,2.141840934753418,9.90894629824232
21.612983047113502,2.1750786304473877,9.936644470948606
22.002566421412034,2.209367275238037,9.958763609840052
22.39218422477446,2.2439680099487305,9.978833978692089
22.78176365425939,2.2780442237854004,10.00058006617764
23.17134097669015,2.3126113414764404,10.019556922996353
23.560886553538015,2.346052885055542,10.042777255202505
23.950421933334795,2.38124942779541,10.057922388881533
24.339965557934313,2.4144935607910156,10.080774682190604
24.72949343045459,2.4475455284118652,10.10379302177916
25.11900777637286,2.4815549850463867,10.122285392722548
25.50852745319112,2.515705108642578,10.139712864420341
25.898069852705458,2.5499203205108643,10.156423180908218
26.287589019654185,2.583542823791504,10.175015787458701
26.677138169232762,2.618614912033081,10.187499523754239
27.066691408039816,2.6533873081207275,10.200806842333888
27.45624813944049,2.686443567276001,10.22029588631209
27.84582917089524,2.720717668533325,10.234736772928839
28.23540612164367,2.7543601989746094,10.251166906984468
28.62498473318666,2.788752794265747,10.26443964199536
29.014547215336997,2.822951316833496,10.278089828301612
29.404127521833395,2.856900930404663,10.292316127905938
29.793698130747448,2.89090895652771,10.30599668781436
30.183248716596346,2.9256131649017334,10.316896669286812
30.572783194668304,2.95935320854187,10.330900382699536
30.962308193198997,2.992859363555908,10.345393629325677
31.35181874905068,3.02738356590271,10.356077473024845
31.741353886285477,3.0621869564056396,10.365583270442482
32.130874244825186,3.0961859226226807,10.377566156494938
32.520377717863774,3.129978656768799,10.389967882859574
32.90991227164755,3.1655867099761963,10.396149367172134
33.29943564034986,3.1983795166015625,10.41134595425754
33.688976365638396,3.232150077819824,10.423085424412765
34.07852733665816,3.2659292221069336,10.434557829968293
34.46806674862711,3.2999918460845947,10.444894519822254
34.85763763997916,3.334555149078369,10.45345963152338
35.24718566642932,3.3683903217315674,10.46410371120827
35.636755253795954,3.403089761734009,10.471882244927215
36.02631721342649,3.4376628398895264,10.47988674031344
36.41587081132737,3.471616506576538,10.489600663651101
36.805414496075784,3.506054162979126,10.497674247223234
37.194955849782836,3.5397231578826904,10.507871432530688
37.58449562578427,3.5738461017608643,10.516540039949138
37.974018008037376,3.6083192825317383,10.524018257440156
38.36355002756581,3.6419856548309326,10.533690591745813
38.75306371568148,3.677351236343384,10.538309023267526
39.14259806657678,3.7109169960021973,10.547958391078389
39.532124609790394,3.744854688644409,10.556384131449578
39.921653698056694,3.7786521911621094,10.56505115539066
40.31117992234557,3.812001943588257,10.574805710723341
40.7007366171015,3.845747232437134,10.583310383430623
41.09027078851274,3.8799538612365723,10.590401911484829
41.479811733439796,3.9142374992370605,10.597162727485184
41.86936514614909,3.9470558166503906,10.607745897467671
