Distance,Time,Velocity
0.0,0.03264808654785156,0.0
1.941165633430862e-06,0.0819549560546875,2.3685762605199212e-05
0.0011517171596801207,0.1208653450012207,0.009528927912864426
0.003460842010470606,0.14755916595458984,0.023453927704739485
0.006857462273812472,0.16804146766662598,0.04080815508834314
0.010254384797686285,0.23824429512023926,0.04304147048940253
0.013651693967133317,0.25962162017822266,0.052583039724356656
0.017049391898094235,0.3031001091003418,0.056250035503781375
0.02044747624580622,0.32445359230041504,0.06302126631063366
0.02384594410217279,0.3600955009460449,0.06622116643924901
0.027244793706350766,0.3875398635864258,0.07030191282573661
0.030644022953092695,0.42224979400634766,0.07257320995313979
0.03404362908676591,0.4538750648498535,0.07500660803657035
0.037443608071857995,0.4941532611846924,0.07577326917177472
0.04084395665864876,0.5268428325653076,0.07752588463578601
0.0442446752443887,0.552135705947876,0.0801336967846191
0.04764576122422597,0.5862777233123779,0.08126824426320488
0.051047212219493085,0.6162586212158203,0.08283407397819723
0.054449025914336126,0.6466081142425537,0.08420714914491681
0.057851199792265155,0.6834657192230225,0.08464389385620037
0.061253731296465525,0.7184929847717285,0.08525306801141054
0.06465661811777403,0.7517969608306885,0.08600276602120407
0.06805985779271598,0.7870981693267822,0.0864693381905953
0.0714634476438563,0.8334870338439941,0.08574032317488012
0.07486738529346001,0.8638229370117188,0.0866698279076194
0.07827162997439943,0.8936214447021484,0.08758924759296485
0.0816759131016918,0.9300463199615479,0.0878191885164049
0.08507938777467189,0.9608149528503418,0.08854919203981623
0.08848174584891949,0.9950520992279053,0.08892172170439666
0.09188289058827645,1.0278990268707275,0.08938902381102456
0.09528283320050646,1.060925006866455,0.08981109181499411
0.09868157387297921,1.095412254333496,0.09008624240106027
0.10207915488971328,1.1312706470489502,0.09023407011929331
0.10547590937959303,1.204397201538086,0.08757568453737198
0.10887249743131153,1.2387783527374268,0.08788698736196619
0.112269095918773,1.3116793632507324,0.08559187486226567
0.11566611463902762,1.3717007637023926,0.08432313934624507
0.11906353450031537,1.4219107627868652,0.08373488520964391
0.1224613407486063,1.4556982517242432,0.08412549826418593
0.12585952928159885,1.4854669570922852,0.08472724935461474
0.1292580975291192,1.5327379703521729,0.0843315035116015
0.13265704252787447,1.572709321975708,0.08434937128828406
0.13605636083092265,1.5972535610198975,0.08518144153896662
0.139456048304294,1.6187899112701416,0.08614833051119859
0.14285609706424482,1.6492607593536377,0.08661825988040339
0.1462565010375801,1.6770031452178955,0.08721301534504682
0.14965724930457333,1.7450149059295654,0.08576273405805164
0.15305831616060728,1.7760274410247803,0.08618015275275902
0.15645976205362364,1.809826135635376,0.08645016168842941
0.15986179692768668,1.8366971015930176,0.0870376486079464
0.16326421300681854,1.8939650058746338,0.08620233874459737
0.1666670297442892,1.9347915649414062,0.08614211099754128
0.17007024741986387,1.97263503074646,0.08621475578049935
0.17347361314380796,2.0241780281066895,0.08570076877381488
0.1768764562899004,2.052302360534668,0.08618440425309473
0.18027862064933847,2.070190668106079,0.0870830998452268
0.18367977272127495,2.092705488204956,0.08777143929546843
0.18707987536813073,2.1183478832244873,0.0883140473996949
0.1904789287561957,2.152557373046875,0.08848959435008182
0.1938771782011067,2.2145678997039795,0.08754627854355795
0.1972748037186498,2.2696568965911865,0.08691833731122013
0.2006723061742155,2.315670967102051,0.08665838498867008
0.20406987263783652,2.3520309925079346,0.08676325834475504
0.20746792606424397,2.371523141860962,0.08748298610379213
0.2108664945284266,2.4204087257385254,0.08712020093386753
0.2142655656858591,2.444469690322876,0.0876531897834896
0.21766513744274105,2.4672091007232666,0.08822322249821961
0.2210652058579854,2.494950532913208,0.08860504564788323
0.22446576926653075,2.5248944759368896,0.08890104968970645
0.2278668287322496,2.557746648788452,0.08908889738558941
0.2312683819810567,2.587387800216675,0.08938296066855138
0.2346703652387811,2.618309736251831,0.08962666333537642
0.23807250212425451,2.652048110961914,0.08976929986307984
0.24147450631043982,2.6852807998657227,0.08992523475478421
0.24487608169872987,2.726818799972534,0.08980284340902901
0.24827708798223017,2.7584524154663086,0.09000593470098328
0.2516774053892851,2.790851593017578,0.09017942982670807
0.25507702346016503,2.8230955600738525,0.09035366250708572
0.25847605292739395,2.858659267425537,0.0904186294158007
0.2618746392491695,2.892078399658203,0.09054894199276162
0.2652729936482273,2.9255928993225098,0.09067324223737949
0.26867135459539615,2.9593777656555176,0.09078643413267791
0.2720699410993773,2.992913007736206,0.09090472739973385
0.27546892392048816,3.0265979766845703,0.09101602724992415
0.27886840333148005,3.060929536819458,0.09110578991676033
0.28226839974532203,3.0949268341064453,0.091203577620864
0.28566889692378733,3.1303863525390625,0.09125675388026169
0.2890698492879263,3.164912223815918,0.091335818767004
0.2924710750041402,3.198082685470581,0.0914520053946337
0.2958723941183854,3.232637882232666,0.09152661228916771
0.2992736300720241,3.2666683197021484,0.0916143301929446
0.30267463213609935,3.3005926609039307,0.09170311614678502
0.306075290635372,3.3350067138671875,0.09177651408097316
0.30947550708409,3.3714194297790527,0.09179383150923218
0.3128753161129194,3.404050827026367,0.09191264526042164
0.31627473439474857,3.4380223751068115,0.09199321583383314
0.3196738731160464,3.4720988273620605,0.09206934739208439
0.32307284683925747,3.506121873855591,0.09214535559882939
0.326471825253728,3.5400760173797607,0.09222169909655524
0.3298709310456045,3.574068546295166,0.0922956364078536
0.33327027866042946,3.6092138290405273,0.09233874590052371
0.3366699491359364,3.64424729347229,0.09238394708805629
0.3400699775931705,3.678368091583252,0.0924513178469849
0.34347029980744254,3.712141752243042,0.09252618103818434
